Model,Family,Platform,Launch_Date,CPU_Core,Threads,Base_Clock_GHz,Boost_Clock_GHz,L1_Cache,L2_Cache,L3_Cache,Unlocked_for_Overclocking,Chip_lithography,CPU_Socket,PCI_Express_Version,Default_TDP,Max._Operating_Temperature_(Tjmax),System_Memory_Type,Graphics_Model
Ryzen-Threadripper-PRO-5995WX,AMD Ryzen PRO Processors,Desktop,,64.0,128.0,2.7GHz,Up to 4.5GHz,4096KB,32MB,256MB,No,TSMC 7nm FinFET,sWRX8,PCIe 4.0,280W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-Threadripper-PRO-5975WX,AMD Ryzen PRO Processors,Desktop,,32.0,64.0,3.6GHz,Up to 4.5GHz,2048KB,16MB,128MB,No,TSMC 7nm FinFET,sWRX8,PCIe 4.0,280W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-Threadripper-PRO-5965WX,AMD Ryzen PRO Processors,Desktop,,24.0,48.0,3.8GHz,Up to 4.5GHz,1536KB,12MB,128MB,No,TSMC 7nm FinFET,sWRX8,PCIe 4.0,280W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-Threadripper-PRO-5955WX,AMD Ryzen PRO Processors,Desktop,,16.0,32.0,4.0GHz,Up to 4.5GHz,1024KB,8MB,64MB,No,TSMC 7nm FinFET,sWRX8,PCIe 4.0,280W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-Threadripper-PRO-5945WX,AMD Ryzen PRO Processors,Desktop,,12.0,24.0,4.1GHz,Up to 4.5GHz,765KB,6MB,64MB,No,TSMC 7nm FinFET,sWRX8,PCIe 4.0,280W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-9-5950X,AMD Ryzen Processors,Boxed Processor,11/5/2020,16.0,32.0,3.4GHz,Up to 4.9GHz,,8MB,64MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0,105W,90°C,DDR4,Discrete Graphics Card Required
Ryzen-9-5900X,AMD Ryzen Processors,Boxed Processor,11/5/2020,12.0,24.0,3.7GHz,Up to 4.8GHz,,6MB,64MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0,105W,90°C,DDR4,Discrete Graphics Card Required
Ryzen-7-5800X3D,AMD Ryzen Processors,Desktop,,8.0,16.0,3.4GHz,Up to 4.5GHz,512KB,4MB,96MB,,TSMC 7nm FinFET,AM4,PCIe 4.0,105W,90°C,DDR4,Discrete Graphics Card Required
Ryzen-9-5900,AMD Ryzen Processors,Desktop,1/12/2021,12.0,24.0,3.0GHz,Up to 4.7GHz,,6MB,64MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0,65W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-7-5800X,AMD Ryzen Processors,Boxed Processor,11/5/2020,8.0,16.0,3.8GHz,Up to 4.7GHz,,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0,105W,90°C,DDR4,Discrete Graphics Card Required
Ryzen-7-5800,AMD Ryzen Processors,Desktop,1/12/2021,8.0,16.0,3.4GHz,Up to 4.6GHz,,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0,65W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-5-5600X,AMD Ryzen Processors,Boxed Processor,11/5/2020,6.0,12.0,3.7GHz,Up to 4.6GHz,,3MB,32MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0,65W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-7-5700X,AMD Ryzen Processors,Desktop,,8.0,16.0,3.4GHz,Up to 4.6GHz,512KB,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0,65W,90°C,DDR4,Discrete Graphics Card Required
Ryzen-9-6980HX,AMD Ryzen Processors,Laptop,,8.0,16.0,3.3GHz,Up to 5.0GHz,512KB,4MB,16MB,Yes,TSMC 6nm FinFET,FP7,PCIe® 4.0,45W,95°C,DDR5,AMD Radeon 680M
Ryzen-9-3900XT,AMD Ryzen Processors,Boxed Processor,7/2020,12.0,24.0,3.8GHz,Up to 4.7GHz,,6MB,64MB,Yes,TSMC 7nm FinFET,,PCIe 4.0,105W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-5-5600,AMD Ryzen Processors,Desktop,,6.0,12.0,3.5GHz,Up to 4.4GHz,384KB,3MB,32MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0,65W,90°C,DDR4,Discrete Graphics Card Required
Ryzen-9-6980HS,AMD Ryzen Processors,Laptop,,8.0,16.0,3.3GHz,Up to 5.0GHz,512KB,4MB,16MB,No,TSMC 6nm FinFET,FP7,PCIe® 4.0,35W,95°C,DDR5,AMD Radeon 680M
Ryzen-9-6900HX,AMD Ryzen Processors,Laptop,,8.0,16.0,3.3GHz,Up to 4.9GHz,512KB,4MB,16MB,Yes,TSMC 6nm FinFET,FP7,PCIe® 4.0,45W,95°C,DDR5,AMD Radeon 680M
Ryzen-5-5500,AMD Ryzen Processors,Desktop,,6.0,12.0,3.6GHz,Up to 4.2GHz,384KB,3MB,16MB,Yes,TSMC 7nm FinFET,AM4,PCIe 3.0,65W,90°C,DDR4,Discrete Graphics Card Required
Ryzen-7-3800XT,AMD Ryzen Processors,Boxed Processor,7/2020,8.0,16.0,3.9GHz,Up to 4.7GHz,,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0,105W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-9-6900HS,AMD Ryzen Processors,Laptop,,8.0,16.0,3.3GHz,Up to 4.9GHz,512KB,4MB,16MB,No,TSMC 6nm FinFET,,PCIe® 4.0,35W,95°C,DDR5,AMD Radeon 680M
Ryzen-5-4500,AMD Ryzen Processors,Desktop,,6.0,12.0,3.6GHz,Up to 4.1GHz,384KB,3MB,8MB,Yes,TSMC 7nm FinFET,AM4,PCIe 3.0,65W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-7-6800H,AMD Ryzen Processors,Laptop,,8.0,16.0,3.2GHz,Up to 4.7GHz,512KB,4MB,16MB,No,TSMC 6nm FinFET,FP7,PCIe® 4.0,45W,95°C,DDR5,AMD Radeon 680M
Ryzen-7-6800HS,AMD Ryzen Processors,Laptop,,8.0,16.0,3.2GHz,Up to 4.7GHz,512KB,4MB,16MB,No,TSMC 6nm FinFET,FP7,PCIe® 4.0,35W,95°C,DDR5,AMD Radeon 680M
Ryzen-5-3600XT,AMD Ryzen Processors,Boxed Processor,7/2020,6.0,12.0,3.8GHz,Up to 4.5GHz,,3MB,32MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0,95W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-Threadripper-PRO-3995WX,AMD Ryzen PRO Processors,Desktop,7/14/2020,64.0,128.0,2.7GHz,Up to 4.2GHz,4096KB,32MB,256MB,No,TSMC 7nm FinFET,sWRX8,PCIe 4.0,280W,90°C,DDR4,Discrete Graphics Card Required
Ryzen-7-6800U,AMD Ryzen Processors,Laptop,,8.0,16.0,2.7GHz,Up to 4.7GHz,512KB,4MB,16MB,No,TSMC 6nm FinFET,FP7,PCIe® 4.0,,95°C,DDR5,AMD Radeon 680M
Ryzen-Threadripper-PRO-3975WX,AMD Ryzen PRO Processors,Desktop,7/14/2020,32.0,64.0,3.5GHz,Up to 4.2GHz,2048KB,16MB,128MB,No,TSMC 7nm FinFET,sWRX8,PCIe 4.0,280W,90°C,DDR4,Discrete Graphics Card Required
Ryzen-Threadripper-PRO-3955WX,AMD Ryzen PRO Processors,Desktop,7/14/2020,16.0,32.0,3.9GHz,Up to 4.3GHz,1024KB,8MB,64MB,No,TSMC 7nm FinFET,sWRX8,PCIe 4.0,280W,90°C,DDR4,Discrete Graphics Card Required
